CandidateID,FirstName,LastName,Email,Status,Username,Password,Grade
41313300,aom,cute,aomcute@email.com,studying,aom,123
18046261,nong,aom,nongaom@email.com,graduated,aom1,123
75502096,aom,aom,aomaom@email.com,studying,aomaom,123
95900187,aomd,djai,aomdjai@email.com,graduated,aomd,1234
73054469,aom,sad,aomsad@email.com,graduated,aomsad,456
38665842,aom,hap,aomhap@email.com,graduated,aomhap,asdad
84159750,aom,ang,aomang@email.com,studying,aomang,dflgkdfg
85414606,aom,cool,aomcool@email.com,graduated,aomcool,fgnfgnf
56730753,aom,smart,aomsmart@email.com,studying,aomsmart,ssgdfg
17676445,aom,smilee,aomsmilee@email.com,graduated,aomsmilee,aom
